customer_number,duka_latitude,duka_longitude,cluster,territory,warehouse_latitude,warehouse_longitude
ID_180914,0.516024,35.2554667,2,Eldoret,0.5201846,35.2563265
ID_089673,0.5541288,35.2977477,2,Eldoret,0.5201846,35.2563265
ID_149976,-1.4472607,36.9841593,17,Thika Rd,-1.2420833,36.8763611
ID_017544,0.1255075,37.56616719,8,Kisii,-0.6713333,34.7678889
ID_061263,-4.0314237,39.6267184,1,Eastlands,-1.3241389,36.867
ID_049494,-1.2583643,36.7027618,15,Ruai,-1.2285389,36.9890257
ID_083901,0.5133048,35.2694375,2,Eldoret,0.5201846,35.2563265
ID_177597,0.5475509,35.3042664,2,Eldoret,0.5201846,35.2563265
ID_044529,-0.5777379,37.6412348,13,Nakuru,-0.2829722,36.1188889
ID_031986,-1.2889643,36.7530552,15,Ruai,-1.2285389,36.9890257
ID_069688,-1.3177367,36.799285,15,Ruai,-1.2285389,36.9890257
ID_092095,-1.0876836,37.0173872,11,Meru,-1.2770781,36.8146693
ID_117392,-1.3112749,36.7949483,15,Ruai,-1.2285389,36.9890257
ID_079773,-0.0654719,37.6637724,8,Kisii,-0.6713333,34.7678889
ID_176304,-1.2461338,36.6633154,15,Ruai,-1.2285389,36.9890257
ID_099379,-1.3983783,36.7305957,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_163776,-1.3257143,36.8947071,0,Athi River,-1.4275556,36.9704444
ID_019888,-1.2907953,36.7398993,15,Ruai,-1.2285389,36.9890257
ID_110784,0.476324,35.2514159,2,Eldoret,0.5201846,35.2563265
ID_152374,-1.1736583,36.909505,0,Athi River,-1.4275556,36.9704444
ID_084453,-1.4788216,36.9601231,17,Thika Rd,-1.2420833,36.8763611
ID_041687,-1.2065487,36.9178641,0,Athi River,-1.4275556,36.9704444
ID_082250,-1.2538371,36.6927709,15,Ruai,-1.2285389,36.9890257
ID_124680,0.4855748,35.3228064,2,Eldoret,0.5201846,35.2563265
ID_074546,-1.2842815,36.9858379,0,Athi River,-1.4275556,36.9704444
ID_150192,-0.0799348,34.7725256,10,Majengo Mombasa,-4.0519167,39.6583611
ID_185715,-1.2176091,36.7622865,15,Ruai,-1.2285389,36.9890257
ID_027319,-1.1046481,37.0145952,11,Meru,-1.2770781,36.8146693
ID_084557,-1.321316361,36.89430237,0,Athi River,-1.4275556,36.9704444
ID_182512,-0.6701441,34.7906925,4,Juja,-1.1081111,37.0138611
ID_186992,-3.4002567,38.5910463,7,Kiambu,-1.2284444,36.6881944
ID_015982,-0.6796108,37.3549171,18,Voi,-3.39025,38.57225
ID_152933,-1.2341525,36.7476517,15,Ruai,-1.2285389,36.9890257
ID_070561,-0.5337791,34.9868876,4,Juja,-1.1081111,37.0138611
ID_070561,-0.5319475,34.9894133,4,Juja,-1.1081111,37.0138611
ID_003274,-1.2548739,36.8635578,0,Athi River,-1.4275556,36.9704444
ID_023887,0.0351071,37.6541441,8,Kisii,-0.6713333,34.7678889
ID_092955,0.2382056,37.914157,8,Kisii,-0.6713333,34.7678889
ID_008510,-1.2013382,36.9072041,0,Athi River,-1.4275556,36.9704444
ID_040219,-4.0253928,39.698732,1,Eastlands,-1.3241389,36.867
ID_063965,-1.27328,36.7511417,15,Ruai,-1.2285389,36.9890257
ID_111743,-0.2806251,36.1624306,5,Karatina,-0.4731389,37.1262222
ID_154087,0.4690914,35.2507273,2,Eldoret,0.5201846,35.2563265
ID_098858,0.5305321,35.3087026,2,Eldoret,0.5201846,35.2563265
ID_146127,-0.3734575,35.9445422,5,Karatina,-0.4731389,37.1262222
ID_095644,-1.3180181,36.9114382,0,Athi River,-1.4275556,36.9704444
ID_187537,-3.9481154,39.7510605,1,Eastlands,-1.3241389,36.867
ID_037668,-1.323492421,36.88785564,0,Athi River,-1.4275556,36.9704444
ID_050730,-1.300971746,36.88937759,0,Athi River,-1.4275556,36.9704444
ID_173422,-1.2824099,36.894172,0,Athi River,-1.4275556,36.9704444
ID_189797,-1.1321106,36.9713186,11,Meru,-1.2770781,36.8146693
ID_070603,-1.2721975,36.7448849,15,Ruai,-1.2285389,36.9890257
ID_074545,-1.3958714,36.9478935,17,Thika Rd,-1.2420833,36.8763611
ID_049099,-0.4820455,37.1256917,3,Embu,-0.54203,37.4542503
ID_109302,-1.3757277,36.7230278,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_122816,-3.9659912,39.5533003,1,Eastlands,-1.3241389,36.867
ID_131214,-1.170315266,36.97471619,0,Athi River,-1.4275556,36.9704444
ID_179226,-0.0996654,34.7692977,10,Majengo Mombasa,-4.0519167,39.6583611
ID_185629,-0.3910712,36.1489394,5,Karatina,-0.4731389,37.1262222
ID_083281,-1.4540055,36.9863807,17,Thika Rd,-1.2420833,36.8763611
ID_165259,-1.2025195,36.9061941,0,Athi River,-1.4275556,36.9704444
ID_175374,0.5441557,35.3068658,2,Eldoret,0.5201846,35.2563265
ID_043162,0.0382482,37.6552342,8,Kisii,-0.6713333,34.7678889
ID_191805,-0.2811296,36.1628562,5,Karatina,-0.4731389,37.1262222
ID_088039,-1.210424,36.8734095,0,Athi River,-1.4275556,36.9704444
ID_031718,0.0859906,37.2416686,8,Kisii,-0.6713333,34.7678889
ID_149354,-0.5008527,36.3264635,5,Karatina,-0.4731389,37.1262222
ID_154445,-3.3982204,38.5555264,7,Kiambu,-1.2284444,36.6881944
ID_077941,-1.2757925,36.9187727,0,Athi River,-1.4275556,36.9704444
ID_169042,-1.2497124,36.6854415,15,Ruai,-1.2285389,36.9890257
ID_115288,-1.2131658,36.8924527,0,Athi River,-1.4275556,36.9704444
ID_151546,-0.4342812,37.1530968,3,Embu,-0.54203,37.4542503
ID_080552,-0.5812364,34.9353405,4,Juja,-1.1081111,37.0138611
ID_158589,-0.1226549,34.7904768,10,Majengo Mombasa,-4.0519167,39.6583611
ID_199002,-1.3674552,36.9416548,17,Thika Rd,-1.2420833,36.8763611
ID_015536,0.124839967,37.56652594,8,Kisii,-0.6713333,34.7678889
ID_058472,-1.2093989,36.9268437,0,Athi River,-1.4275556,36.9704444
ID_110474,-1.1526932,36.9503137,0,Athi River,-1.4275556,36.9704444
ID_194317,-0.4141967,36.9441639,3,Embu,-0.54203,37.4542503
ID_101958,-4.0255779,39.7042112,1,Eastlands,-1.3241389,36.867
ID_130861,-1.3919235,36.6830819,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_045473,-1.3007775,36.8888433,0,Athi River,-1.4275556,36.9704444
ID_025841,-4.046443,39.6627256,1,Eastlands,-1.3241389,36.867
ID_082101,-1.199679852,36.9021225,0,Athi River,-1.4275556,36.9704444
ID_117357,-1.472261071,36.95613999,17,Thika Rd,-1.2420833,36.8763611
ID_071257,-0.4878658,37.1380878,3,Embu,-0.54203,37.4542503
ID_121754,-1.526477,37.1290422,16,Ruiru,-1.2286944,36.9891111
ID_042666,-1.3925513,36.9520692,17,Thika Rd,-1.2420833,36.8763611
ID_098959,-1.3185685,36.8925197,0,Athi River,-1.4275556,36.9704444
ID_020374,-1.255538464,36.91625214,0,Athi River,-1.4275556,36.9704444
ID_113714,0.7964838,35.1357569,14,Ongata Rongai,-1.3989167,36.7250278
ID_169854,-1.243768354,36.66552767,15,Ruai,-1.2285389,36.9890257
ID_015747,-1.2851596,36.6878009,15,Ruai,-1.2285389,36.9890257
ID_008177,-0.253171,36.2342307,5,Karatina,-0.4731389,37.1262222
ID_001768,-0.9423116,37.1210354,11,Meru,-1.2770781,36.8146693
ID_131232,-1.296818,36.7446052,15,Ruai,-1.2285389,36.9890257
ID_178587,-1.392270446,36.75873566,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_157514,-1.2539976,36.6908344,15,Ruai,-1.2285389,36.9890257
ID_193830,-1.3115663,36.8363249,0,Athi River,-1.4275556,36.9704444
ID_197438,-1.143073,37.0194005,11,Meru,-1.2770781,36.8146693
ID_143057,-1.279465,36.6500403,15,Ruai,-1.2285389,36.9890257
ID_034780,-0.5644495,37.1885336,18,Voi,-3.39025,38.57225
ID_099065,-1.5309045,37.2709602,16,Ruiru,-1.2286944,36.9891111
ID_129520,-3.3772907,37.7232694,6,Kawangware,-1.28875,36.7517778
ID_001936,-0.5328039,37.4582046,13,Nakuru,-0.2829722,36.1188889
ID_100783,-1.087202,37.0173872,11,Meru,-1.2770781,36.8146693
ID_051564,-3.4200565,38.5072064,7,Kiambu,-1.2284444,36.6881944
ID_191564,0.04670463,37.66340297,8,Kisii,-0.6713333,34.7678889
ID_121596,-4.056493,39.6710632,1,Eastlands,-1.3241389,36.867
ID_176232,-0.6720719,34.780466,4,Juja,-1.1081111,37.0138611
ID_199746,-0.565609,37.3261122,18,Voi,-3.39025,38.57225
ID_023668,-4.0423014,39.6838869,1,Eastlands,-1.3241389,36.867
ID_030194,-3.3962286,38.590532,7,Kiambu,-1.2284444,36.6881944
ID_158641,-0.9298317,37.1160934,11,Meru,-1.2770781,36.8146693
ID_152781,-0.3592908,37.0010876,3,Embu,-0.54203,37.4542503
ID_131931,-1.2758467,36.9126046,0,Athi River,-1.4275556,36.9704444
ID_001144,-1.5451023,37.1413505,16,Ruiru,-1.2286944,36.9891111
ID_004755,-3.6207159,38.7212716,7,Kiambu,-1.2284444,36.6881944
ID_100708,-3.7300366,39.0429177,7,Kiambu,-1.2284444,36.6881944
ID_116786,-1.0666949,37.0540849,11,Meru,-1.2770781,36.8146693
ID_132042,-3.9104668,39.7573757,1,Eastlands,-1.3241389,36.867
ID_116036,-0.2827343,36.1644024,5,Karatina,-0.4731389,37.1262222
ID_107262,-1.3934971,36.7477854,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_181759,-1.4674064,37.439374,16,Ruiru,-1.2286944,36.9891111
ID_051185,-1.257109,36.6812214,15,Ruai,-1.2285389,36.9890257
ID_171399,-0.4160943,36.1499578,5,Karatina,-0.4731389,37.1262222
ID_131804,-0.7597418,35.0157832,4,Juja,-1.1081111,37.0138611
ID_012184,-0.0994185,34.7691352,10,Majengo Mombasa,-4.0519167,39.6583611
ID_129701,-0.1720554,37.0221202,3,Embu,-0.54203,37.4542503
ID_040608,-1.0524319,37.0974705,11,Meru,-1.2770781,36.8146693
ID_028424,0.7080788,35.1563169,14,Ongata Rongai,-1.3989167,36.7250278
ID_019297,-3.2427596,40.0883223,9,Kisumu1,-0.0879444,34.7596667
ID_090377,-1.2136396,36.8959413,0,Athi River,-1.4275556,36.9704444
ID_017400,-4.0124883,39.7087067,1,Eastlands,-1.3241389,36.867
ID_174255,-1.5290289,36.9415116,17,Thika Rd,-1.2420833,36.8763611
ID_157524,-1.222237,36.9219987,0,Athi River,-1.4275556,36.9704444
ID_123946,-1.1498803,36.8060857,15,Ruai,-1.2285389,36.9890257
ID_039151,-0.4633594,34.8647874,4,Juja,-1.1081111,37.0138611
ID_174342,-0.9290817,34.8375285,4,Juja,-1.1081111,37.0138611
ID_038910,-3.9625799,39.7165858,1,Eastlands,-1.3241389,36.867
ID_167592,-0.7994226,34.7276311,4,Juja,-1.1081111,37.0138611
ID_055317,-0.1550506,37.6750775,8,Kisii,-0.6713333,34.7678889
ID_192479,-1.0707418,37.0921782,11,Meru,-1.2770781,36.8146693
ID_157169,-1.5199574,37.2351724,16,Ruiru,-1.2286944,36.9891111
ID_033974,-1.243187,36.9088105,0,Athi River,-1.4275556,36.9704444
ID_133759,-0.1378665,34.7400104,10,Majengo Mombasa,-4.0519167,39.6583611
ID_023274,-1.245197,36.9032081,0,Athi River,-1.4275556,36.9704444
ID_046464,0.5193613,35.3005074,2,Eldoret,0.5201846,35.2563265
ID_143107,-0.3130448,36.1411313,5,Karatina,-0.4731389,37.1262222
ID_093179,-1.2690964,36.7601922,15,Ruai,-1.2285389,36.9890257
ID_105307,-0.1187302,34.7577763,10,Majengo Mombasa,-4.0519167,39.6583611
ID_094472,-3.3969597,38.5557101,7,Kiambu,-1.2284444,36.6881944
ID_050921,-1.2371115,36.9041231,0,Athi River,-1.4275556,36.9704444
ID_112323,-1.1474406,36.9588323,0,Athi River,-1.4275556,36.9704444
ID_029644,0.5295166,35.2406048,2,Eldoret,0.5201846,35.2563265
ID_072054,-1.3884264,36.9418352,17,Thika Rd,-1.2420833,36.8763611
ID_165988,-0.4106351,36.1452052,5,Karatina,-0.4731389,37.1262222
ID_117445,0.0008677,36.2308907,5,Karatina,-0.4731389,37.1262222
ID_100702,-1.287993,36.752107,15,Ruai,-1.2285389,36.9890257
ID_055205,-1.308622,36.866566,0,Athi River,-1.4275556,36.9704444
ID_191148,-1.478123442,36.95099685,17,Thika Rd,-1.2420833,36.8763611
ID_015616,-1.3924957,36.9509644,17,Thika Rd,-1.2420833,36.8763611
ID_041890,-1.2665401,36.7451769,15,Ruai,-1.2285389,36.9890257
ID_141070,0.6206712,35.3103122,2,Eldoret,0.5201846,35.2563265
ID_005476,-0.0766524,34.7950082,10,Majengo Mombasa,-4.0519167,39.6583611
ID_184373,0.5824717,35.2277667,2,Eldoret,0.5201846,35.2563265
ID_051550,-4.0640718,39.6617202,1,Eastlands,-1.3241389,36.867
ID_191840,-1.1421233,36.9774483,11,Meru,-1.2770781,36.8146693
ID_102865,-0.815832,34.7304569,4,Juja,-1.1081111,37.0138611
ID_087509,0.7969423,35.1372559,14,Ongata Rongai,-1.3989167,36.7250278
ID_196968,-4.0123986,39.7090514,1,Eastlands,-1.3241389,36.867
ID_038631,-1.0111162,36.8989839,11,Meru,-1.2770781,36.8146693
ID_172086,-1.056246,36.7753028,15,Ruai,-1.2285389,36.9890257
ID_100384,-1.2966066,36.7419369,15,Ruai,-1.2285389,36.9890257
ID_080330,-0.4903755,37.4633077,13,Nakuru,-0.2829722,36.1188889
ID_136347,-1.261916161,36.85626221,0,Athi River,-1.4275556,36.9704444
ID_179147,0.5135373,35.2609024,2,Eldoret,0.5201846,35.2563265
ID_179863,-1.2145658,36.9397423,0,Athi River,-1.4275556,36.9704444
ID_156144,-1.3437055,36.6662258,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_004812,-4.0448741,39.660768,1,Eastlands,-1.3241389,36.867
ID_151154,-1.291453201,36.84638432,0,Athi River,-1.4275556,36.9704444
ID_118740,-0.4911715,37.463207,13,Nakuru,-0.2829722,36.1188889
ID_176144,-1.4539583,36.695216,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_064372,-1.1717229,36.8415252,0,Athi River,-1.4275556,36.9704444
ID_128665,-1.2365836,36.9207532,0,Athi River,-1.4275556,36.9704444
ID_023207,-3.2666714,40.0509738,9,Kisumu1,-0.0879444,34.7596667
ID_197013,0.5130981,35.3053911,2,Eldoret,0.5201846,35.2563265
ID_039825,-0.9113426,34.796074,4,Juja,-1.1081111,37.0138611
ID_046164,-0.482069,37.122006,3,Embu,-0.54203,37.4542503
ID_096127,-0.7028266,34.7982001,4,Juja,-1.1081111,37.0138611
ID_136080,-1.4720105,36.9561378,17,Thika Rd,-1.2420833,36.8763611
ID_178215,-4.0202215,39.6821906,1,Eastlands,-1.3241389,36.867
ID_042408,-1.3812755,36.6958797,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_112835,-0.2925076,36.1475455,5,Karatina,-0.4731389,37.1262222
ID_174076,-1.2042325,36.8336303,0,Athi River,-1.4275556,36.9704444
ID_163939,-1.3061795,36.8389883,0,Athi River,-1.4275556,36.9704444
ID_025954,-1.2200275,36.6700049,15,Ruai,-1.2285389,36.9890257
ID_093281,-4.03311,39.710188,1,Eastlands,-1.3241389,36.867
ID_149704,-0.0813913,34.7674385,10,Majengo Mombasa,-4.0519167,39.6583611
ID_043319,-1.012342,36.9046585,11,Meru,-1.2770781,36.8146693
ID_105127,-0.0043567,37.5912,8,Kisii,-0.6713333,34.7678889
ID_179349,-0.330345,37.6345782,13,Nakuru,-0.2829722,36.1188889
ID_041139,-0.3064391,36.0635927,5,Karatina,-0.4731389,37.1262222
ID_006624,-0.5038274,34.7349004,4,Juja,-1.1081111,37.0138611
ID_120593,0.4725269,35.2560703,2,Eldoret,0.5201846,35.2563265
ID_152211,0.5439358,35.3022079,2,Eldoret,0.5201846,35.2563265
ID_027924,-1.2105198,36.919139,0,Athi River,-1.4275556,36.9704444
ID_137059,-1.3105156,36.8271137,0,Athi River,-1.4275556,36.9704444
ID_073303,0.0374647,37.6580118,8,Kisii,-0.6713333,34.7678889
ID_012214,-1.07514,37.0959284,11,Meru,-1.2770781,36.8146693
ID_150568,-3.2172541,40.1188716,9,Kisumu1,-0.0879444,34.7596667
ID_118957,-1.3116684,36.8588318,0,Athi River,-1.4275556,36.9704444
ID_068568,-1.2757667,36.758975,15,Ruai,-1.2285389,36.9890257
ID_182277,-3.8646396,39.475785,1,Eastlands,-1.3241389,36.867
ID_143455,-3.9693407,39.7361453,1,Eastlands,-1.3241389,36.867
ID_128953,-1.1196516,37.0106002,11,Meru,-1.2770781,36.8146693
ID_130950,-1.321226835,36.89406204,0,Athi River,-1.4275556,36.9704444
ID_122934,-0.4494367,34.8884696,4,Juja,-1.1081111,37.0138611
ID_143534,-3.2151155,40.1058004,9,Kisumu1,-0.0879444,34.7596667
ID_002979,-1.4820631,36.9541694,17,Thika Rd,-1.2420833,36.8763611
ID_042970,-0.6935085,34.7789334,4,Juja,-1.1081111,37.0138611
ID_058258,-1.3940474,36.9419746,17,Thika Rd,-1.2420833,36.8763611
ID_082862,0.5299532,35.2607076,2,Eldoret,0.5201846,35.2563265
ID_173354,-0.2681143,36.1021401,5,Karatina,-0.4731389,37.1262222
ID_189037,-1.134117484,36.97378159,11,Meru,-1.2770781,36.8146693
ID_089735,-1.2018339,36.9011195,0,Athi River,-1.4275556,36.9704444
ID_139412,-0.0805422,34.7661304,10,Majengo Mombasa,-4.0519167,39.6583611
ID_166636,0.537206,35.2629419,2,Eldoret,0.5201846,35.2563265
ID_163404,-1.205117311,36.6917273,15,Ruai,-1.2285389,36.9890257
ID_127092,-1.2902667,36.7251325,15,Ruai,-1.2285389,36.9890257
ID_184862,-1.1221228,37.0105231,11,Meru,-1.2770781,36.8146693
ID_119204,-1.3173769,36.8744568,0,Athi River,-1.4275556,36.9704444
ID_017423,-0.0744843,34.6961911,10,Majengo Mombasa,-4.0519167,39.6583611
ID_133582,-1.22901,36.930825,0,Athi River,-1.4275556,36.9704444
ID_063202,-1.283956528,37.04751205,0,Athi River,-1.4275556,36.9704444
ID_106719,-3.9505909,39.7429182,1,Eastlands,-1.3241389,36.867
ID_196850,-1.3673316,36.6545449,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_151436,-1.3545626,36.9885234,17,Thika Rd,-1.2420833,36.8763611
ID_107675,-3.2226392,40.1076881,9,Kisumu1,-0.0879444,34.7596667
ID_099300,-0.587132,34.732653,4,Juja,-1.1081111,37.0138611
ID_078514,-0.4819206,37.127702,3,Embu,-0.54203,37.4542503
ID_153709,-1.1988451,36.6537726,15,Ruai,-1.2285389,36.9890257
ID_025452,-1.1471623,36.9912122,11,Meru,-1.2770781,36.8146693
ID_181425,0.5362536,35.2627989,2,Eldoret,0.5201846,35.2563265
ID_038300,-1.308802,36.8978055,0,Athi River,-1.4275556,36.9704444
ID_096994,-1.0707418,37.0921782,11,Meru,-1.2770781,36.8146693
ID_043299,-1.244467,36.8896839,0,Athi River,-1.4275556,36.9704444
ID_181604,-1.2070814,36.7829261,15,Ruai,-1.2285389,36.9890257
ID_054112,-3.8643753,39.475447,1,Eastlands,-1.3241389,36.867
ID_010463,-1.2423066,36.9051721,0,Athi River,-1.4275556,36.9704444
ID_041484,-1.5182245,37.2723214,16,Ruiru,-1.2286944,36.9891111
ID_097854,-1.2779277,36.7279007,15,Ruai,-1.2285389,36.9890257
ID_101557,-1.2793125,36.7478841,15,Ruai,-1.2285389,36.9890257
ID_033455,-0.461189,36.9472218,3,Embu,-0.54203,37.4542503
ID_042270,-0.1355242,34.7923105,10,Majengo Mombasa,-4.0519167,39.6583611
ID_148401,-1.2084667,36.915275,0,Athi River,-1.4275556,36.9704444
ID_016981,-4.0449239,39.6647499,1,Eastlands,-1.3241389,36.867
ID_148634,-1.4039312,36.7851794,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_145690,-4.099314,39.6593963,1,Eastlands,-1.3241389,36.867
ID_009969,-0.5409107,37.4600496,13,Nakuru,-0.2829722,36.1188889
ID_124859,-1.147989154,36.95354843,0,Athi River,-1.4275556,36.9704444
ID_123808,-1.3630063,36.6735198,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_087649,-1.3005733,36.74978,15,Ruai,-1.2285389,36.9890257
ID_073133,-3.3064286,40.0118415,9,Kisumu1,-0.0879444,34.7596667
ID_054424,-1.2029944,36.9155243,0,Athi River,-1.4275556,36.9704444
ID_093486,-1.1825006,36.7632648,15,Ruai,-1.2285389,36.9890257
ID_093486,-1.178338695,36.76068988,15,Ruai,-1.2285389,36.9890257
ID_148055,-1.2104637,36.8957157,0,Athi River,-1.4275556,36.9704444
ID_080640,-3.9111935,39.7638957,1,Eastlands,-1.3241389,36.867
ID_134627,-1.2761443,36.7565183,15,Ruai,-1.2285389,36.9890257
ID_099584,-1.1883583,36.7922169,15,Ruai,-1.2285389,36.9890257
ID_038257,-1.1392803,36.9730565,11,Meru,-1.2770781,36.8146693
ID_130765,0.4756013,35.2626808,2,Eldoret,0.5201846,35.2563265
ID_046721,-1.3111379,36.7905342,15,Ruai,-1.2285389,36.9890257
ID_139023,0.3576439,35.3545525,2,Eldoret,0.5201846,35.2563265
ID_119783,0.3422141,37.5805911,8,Kisii,-0.6713333,34.7678889
ID_039673,-1.0931688,37.0042992,11,Meru,-1.2770781,36.8146693
ID_149191,-4.0455437,39.6898304,1,Eastlands,-1.3241389,36.867
ID_168915,-1.3129627,36.7982074,15,Ruai,-1.2285389,36.9890257
ID_081565,-1.2776601,36.7147611,15,Ruai,-1.2285389,36.9890257
ID_157132,-1.2589874,36.7031871,15,Ruai,-1.2285389,36.9890257
ID_002593,-0.4138617,36.9539033,3,Embu,-0.54203,37.4542503
ID_125550,-1.2854084,36.8335596,0,Athi River,-1.4275556,36.9704444
ID_195962,-1.2578936,36.9493827,0,Athi River,-1.4275556,36.9704444
ID_118793,-1.0667984,37.0538178,11,Meru,-1.2770781,36.8146693
ID_116156,-1.209158,36.9325668,0,Athi River,-1.4275556,36.9704444
ID_198158,0.6446095,35.1697002,14,Ongata Rongai,-1.3989167,36.7250278
ID_010447,-1.2288636,36.9319959,0,Athi River,-1.4275556,36.9704444
ID_047418,-1.1481595,37.0056417,11,Meru,-1.2770781,36.8146693
ID_014351,-4.0925697,39.6564951,1,Eastlands,-1.3241389,36.867
ID_155091,-3.2165458,40.1163625,9,Kisumu1,-0.0879444,34.7596667
ID_195150,-0.4736351,37.1224752,3,Embu,-0.54203,37.4542503
ID_093828,-1.2841118,36.7475206,15,Ruai,-1.2285389,36.9890257
ID_059997,0.5328372,35.2953516,2,Eldoret,0.5201846,35.2563265
ID_168591,-1.4267606,36.9680844,17,Thika Rd,-1.2420833,36.8763611
ID_142931,-1.279165266,36.7176497,15,Ruai,-1.2285389,36.9890257
ID_084811,-1.4224436,36.6824077,12,Mtwapa Mombasa,-3.9406389,39.7465278
ID_077761,0.0844535,37.2395115,8,Kisii,-0.6713333,34.7678889
ID_165677,0.4741161,35.2566058,2,Eldoret,0.5201846,35.2563265
ID_080005,-0.5778096,37.6412407,13,Nakuru,-0.2829722,36.1188889
ID_159259,-1.1526904,36.9445193,0,Athi River,-1.4275556,36.9704444
ID_084091,-1.2509878,36.9399569,0,Athi River,-1.4275556,36.9704444
ID_019547,-1.2199388,36.9230343,0,Athi River,-1.4275556,36.9704444
ID_001658,-4.0391875,39.6828503,1,Eastlands,-1.3241389,36.867
ID_168499,-4.1012679,39.6348794,1,Eastlands,-1.3241389,36.867
ID_168838,-0.1612436,37.6747344,8,Kisii,-0.6713333,34.7678889
ID_094854,-0.5616137,37.0505118,3,Embu,-0.54203,37.4542503
ID_169302,-1.2089171,36.7879642,15,Ruai,-1.2285389,36.9890257
ID_070623,-0.0148708,37.7255951,8,Kisii,-0.6713333,34.7678889
ID_159764,-1.1695799,36.8399318,0,Athi River,-1.4275556,36.9704444
ID_195513,-4.0110292,39.6335888,1,Eastlands,-1.3241389,36.867
ID_071964,-4.0349245,39.6630344,1,Eastlands,-1.3241389,36.867
ID_178917,-1.3927448,36.9513508,17,Thika Rd,-1.2420833,36.8763611
ID_172274,-1.2121175,36.8956838,0,Athi River,-1.4275556,36.9704444
ID_056367,-0.4762549,37.2360556,18,Voi,-3.39025,38.57225
ID_194475,-1.1770059,36.8197912,15,Ruai,-1.2285389,36.9890257
ID_109874,-1.2511649,36.9402883,0,Athi River,-1.4275556,36.9704444
ID_081962,-1.2034787,36.8986399,0,Athi River,-1.4275556,36.9704444
ID_070505,-1.3052578,36.7744095,15,Ruai,-1.2285389,36.9890257
ID_175384,-1.5333417,37.12997,16,Ruiru,-1.2286944,36.9891111
ID_152348,-1.1014475,37.0182046,11,Meru,-1.2770781,36.8146693
ID_124693,-1.2796611,36.9120682,0,Athi River,-1.4275556,36.9704444
ID_073468,-1.1891231,36.7723744,15,Ruai,-1.2285389,36.9890257
ID_017940,-0.1068786,37.7679594,8,Kisii,-0.6713333,34.7678889
